condition		00:01:48.654	00:04:01.755	00:02:13.101	bl1
condition		00:04:01.755	00:12:05.210	00:08:03.455	c
condition		00:12:05.210	00:14:08.771	00:02:03.561	bl2
state		00:04:01.755	00:12:05.209	00:08:03.454	a
movement		00:04:53.287	00:04:54.532	00:00:01.245	l
movement		00:04:55.587	00:04:56.875	00:00:01.288	l
movement		00:05:43.272	00:05:44.666	00:00:01.394	l
movement		00:06:41.135	00:06:42.529	00:00:01.394	l
movement		00:06:42.575	00:06:43.757	00:00:01.182	l
movement		00:08:13.561	00:08:15.016	00:00:01.455	l
movement		00:08:46.030	00:08:47.303	00:00:01.273	l
movement		00:09:20.741	00:09:22.075	00:00:01.334	l
movement		00:09:22.878	00:09:24.181	00:00:01.303	l
movement		00:09:55.514	00:09:56.877	00:00:01.363	l
movement		00:09:58.029	00:09:59.271	00:00:01.242	l
movement		00:10:23.150	00:10:24.574	00:00:01.424	l
movement		00:10:25.484	00:10:26.938	00:00:01.454	l
movement		00:10:37.560	00:10:38.984	00:00:01.424	l
movement		00:10:53.225	00:10:54.559	00:00:01.334	l
movement		00:11:02.514	00:11:03.695	00:00:01.181	l
movement		00:11:12.361	00:11:13.845	00:00:01.484	l
movement		00:11:22.785	00:11:24.270	00:00:01.485	l
movement		00:11:24.452	00:11:25.694	00:00:01.242	l
movement		00:11:35.269	00:11:36.632	00:00:01.363	l
movement		00:11:37.329	00:11:38.753	00:00:01.424	l
movement		00:11:49.264	00:11:50.658	00:00:01.394	l
movement		00:11:50.825	00:11:52.037	00:00:01.212	l
movement		00:11:57.992	00:11:59.386	00:00:01.394	l
movement		00:12:03.977	00:12:05.210	00:00:01.233	l
